Språk,Wikipedia-sida,Extern länk,Wikipedia-länk,Domän,lang_code,lang_name,domain,wiki,year,legacy_dspace,status,error,elapsed,is_broken,failure_type
an,Polibio,https://kulturarvsdata.se/LSH/agents/55662,https://an.wikipedia.org/wiki/Polibio,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.056353,True,hard_404
an,Pedro Calderón de la Barca,https://kulturarvsdata.se/LSH/agents/42280,https://an.wikipedia.org/wiki/Pedro_Calderón_de_la_Barca,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.055873,True,hard_404
an,Tacito,https://kulturarvsdata.se/LSH/agents/45552,https://an.wikipedia.org/wiki/Tacito,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.057916,True,hard_404
an,Lorenzo Valla,https://kulturarvsdata.se/LSH/agents/58570,https://an.wikipedia.org/wiki/Lorenzo_Valla,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.057055,True,hard_404
an,David Hume,https://kulturarvsdata.se/LSH/agents/63324,https://an.wikipedia.org/wiki/David_Hume,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.056619,True,hard_404
an,Apuleyo,https://kulturarvsdata.se/LSH/agents/51548,https://an.wikipedia.org/wiki/Apuleyo,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.059352,True,hard_404
an,Plinio o Viello,https://kulturarvsdata.se/LSH/agents/62315,https://an.wikipedia.org/wiki/Plinio_o_Viello,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.058002,True,hard_404
an,Marco Porcio Catón,https://kulturarvsdata.se/LSH/agents/41955,https://an.wikipedia.org/wiki/Marco_Porcio_Catón,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,1955,False,404.0,,0.058534,True,hard_404
an,Marco Vitrubio,https://kulturarvsdata.se/LSH/agents/64097,https://an.wikipedia.org/wiki/Marco_Vitrubio,kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.057928,True,hard_404
an,Antonio Gavín (mosén),https://kulturarvsdata.se/LSH/agents/54970,https://an.wikipedia.org/wiki/Antonio_Gavín_(mosén),kulturarvsdata.se,an,aragonés,kulturarvsdata.se,,,False,404.0,,0.059073,True,hard_404
ast,Bhaktivedanta Swami Prabhupada,https://kulturnav.org/1f0a1cd9-d6fa-474d-89ac-93dd81724244,https://ast.wikipedia.org/wiki/Bhaktivedanta_Swami_Prabhupada,kulturnav.org,ast,asturianu,kulturnav.org,,,False,404.0,,0.175055,True,hard_404
