"19512892","Gärdslösa kyrka : Runstens härad, Öland","1978","['9174020749 (invalid)', '9174020889 (invalid)']","Stockholm : Almqvist & Wiksell international","Boström, Ragnhild, 1917-2016","7022","Gärdslösa kyrka"
"19512900","Runstens kyrkor : Runstens härad, Öland","1982","['9171925058 (invalid)', '9171925066 (invalid)']","Stockholm : Almqvist & Wiksell international","Boström, Ragnhild, 1917-2016.","7033","Runstens kyrkor"
"19512969","Tyresö kyrka, Sotholms härad, Södermanland","1979","['9174020579 (invalid)', '9174020595 (invalid)']","Stockholm : Almqvist & Wiksell international","Flodin, Barbro, 1933-","7024","Tyresö kyrka, Sotholms härad, Södermanland"
"19512883","Brandstorps kyrka : Vartofta härad, Västergötland","1975","917402034 (invalid)","Stockholm : Almqvist & Wiksell","Jesperson, Barbro, 1931-","7009","Brandstorps kyrka"
"19512899","Linde kyrka : Fardhems ting, Gotland","1981","['9171924981 (invalid)', '9171924973 (invalid)']","Stockholm : Almqvist & Wiksell international","Lagerlöf, Erland, 1928-2014.","7031","Linde kyrka"
"19512968","Jäts kyrkor, Kinnevalds härad, Småland","1977","9174020528 (invalid)","Stockholm : Almqvist & Wiksell international","Liepe, Anita, 1936-","7018","Jäts kyrkor, Kinnevalds härad, Småland"
"19512970","Strängnäs domkyrka.","1982","['9171925074 (invalid)', '9171925082 (invalid)']","Stockholm : Almqvist & Wiksell international","","7034","['Strängnäs domkyrka', 'Strängnäs domkyrka.']"
"19512999","Strängnäs domkyrka.","1978","['9174020722 (invalid)', '9174020862 (invalid)']","Stockholm : Almqvist & Wiksell international","","7021","['Strängnäs domkyrka', 'Strängnäs domkyrka.']"
"19512998","Lenhovda och Herråkra kyrkor : Uppvidinge härad, Småland","1977","9174020234 (invalid)","Stockholm : Almqvist & Wiksell international","Ullén, Marian, 1934-","7016","Lenhovda och Herråkra kyrkor"
"19513000","Vederslövs och Dänningelanda kyrkor, Kinnevalds härad, Småland","1981","['9171924795 (invalid)', '9171924809 (invalid)']","Stockholm : Almqvist & Wiksell international","Ullén, Marian, 1934-","7030","Vederslövs och Dänningelanda kyrkor, Kinnevalds härad, Småland"
"19512890","Drottningholms slottskyrka","1977","9174020501 (invalid)","Stockholm : Almqvist & Wiksell international","Rosell, Ingrid, 1927-2015.","7019","Drottningholms slottskyrka"
"19512886","Ulriksdals slottskapell","1976","9174020382 (invalid)","Stockholm : Almqvist & Wiksell international","Rosell, Ingrid, 1927-2015.","7012","Ulriksdals slottskapell"
"19512997","Fors kyrka","1976","9174020366 (invalid)","Stockholm : Almqvist & Wiksell international","Bennett, Robert, 1942-","7013","Fors kyrka"
"19512882","Löt och Egby","1975","9174020226 (invalid)","Stockholm : Almqvist & Wiksell","Boström, Ragnhild, 1917-2016.","7008","Löt och Egby"
"19512889","Lojsta kyrka","1977","9174020498 (invalid)","Stockholm : Almqvist & Wiksell international","Lagerlöf, Erland, 1928-2014.","7017","Lojsta kyrka"
"19512964","Granhults och Nottebäcks kyrkor : Uppvidinge härad, Småland band II:4","1972","9171920420 (invalid)","Stockholm : Almqvist & Wiksell","Ullén, Marian, 1934-","6994","Granhults och Nottebäcks kyrkor"
"19512785","Kyrkor i Danderyds skeppslag : [östra och västra delen] : konsthistoriskt inventarium","1928","","Stockholm : Svenska bokhandelscentralen","Brandel, Sven","6874","Kyrkor i Danderyds skeppslag"
"19512950","Medelpad.","1929","","Stockholm : Svenska Bokhandelscentralen","Cornell, Henrik, 1890-1981","6875","['Medelpad', 'Medelpad.']"
"19512953","Medelpad","1939","","Stockholm : Generalstabens litografiska anstalt","Cornell, Henrik, 1890-1981","6892","['Medelpad', 'Medelpad.']"
"19512982","Dalsland.","1931","","Stockholm","","6879","['Dalsland', 'Dalsland.']"
"19510340","Västergötland","1913","","Stockholm : Gunnar Tisells tekniska förl","Fischer, Ernst, 1890-1980","6847","['Västergötland', 'Västergötland']"
"19512768","Västergötland","1913","","Stockholm : Gunnar Tisells tekniska förl","Fischer, Ernst, 1890-1980","6847","['Västergötland', 'Västergötland', 'Västergötland']"
"19512778","Västergötland.","1922","","Stockholm : Gunnar Tisells tekniska förl","Fischer, Ernst, 1890-1980","6860","['Västergötland', 'Västergötland.']"
"19512779","Västergötland.","1922","","Stockholm : Gunnar Tisells tekniska förl","Fischer, Ernst, 1890-1980","6861","['Västergötland', 'Västergötland.']"
"19512984","Jönköpings och Huskvarna kyrkor","1940","","Stockholm","Johanson, Erik O.","6893","Jönköpings och Huskvarna kyrkor"
"19512780","Kyrkor i Grums härad : konsthistoriskt inventarium","1924","","Stockholm : Tisell","Kjellin, Helge, 1885-1984","6863","['Kyrkor i Grums härad : konsthistoriskt inventarium', 'Kyrkor i Grums härad']"
"19512781","Kyrkor i Grums härad : konsthistoriskt inventarium","1924","","Stockholm : Tisell","Kjellin, Helge, 1885-1984","6864","['Kyrkor i Grums härad : konsthistoriskt inventarium', 'Kyrkor i Grums härad']"
"19512919","Kyrkobyggnader 1760-1860.","1989","9171927743 (invalid)","Stockholm : Almqvist & Wiksell International","","7055","['Kyrkobyggnader 1760-1860', 'Kyrkobyggnader 1760-1860.']"
"19512925","Kyrkobyggnader 1760-1860.","1993","9171928219 (invalid)","Stockholm : Almqvist & Wiksell International","","7061","['Kyrkobyggnader 1760-1860', 'Kyrkobyggnader 1760-1860.']"
"19512926","Kyrkobyggnader 1760-1860.","1993","9171928863 (invalid)","Stockholm : Almqvist & Wiksell International","","7062","['Kyrkobyggnader 1760-1860', 'Kyrkobyggnader 1760-1860.']"
"19512930","Kyrkobyggnader 1760-1860.","[1998]","9172090162 (invalid)","Stockholm : Almqvist & Wiksell International","","7066","['Kyrkobyggnader 1760-1860', 'Kyrkobyggnader 1760-1860.']"
"19512933","Linköpings domkyrka.","2001","['9172092106 (invalid)', '9172092114 (invalid)']","Stockholm : Riksantikvarieämbetet","","7070","['Linköpings domkyrka', 'Linköpings domkyrka.']"
"19512794","Örebro stads kyrkor : konsthistoriskt inventarium","1939","","Stockholm : Generalstabens litografiska anstalt","Lundberg, Erik, 1895-1969","6891","Örebro stads kyrkor"
"19512903","Medeltida träkyrkor.","1983","9171925449 (invalid)","Stockholm : Riksantikvarieämbetet : [Almqvist & Wiksell international (distr.)]","","7037","['Medeltida träkyrkor', 'Medeltida träkyrkor.']"
"19512909","Medeltida träkyrkor.","1985","9171926453 (invalid)","Stockholm : Riksantikvarieämbetet : [Almqvist & Wiksell international (distr.)]","","7044","['Medeltida träkyrkor', 'Medeltida träkyrkor.']"
"19512934","Grötlingbo kyrka : Grötlinge ting, Gotland","2001","['9172092297 (invalid)', '9172092300 (invalid)']","Stockholm : Riksantikvarieämbetet","Stolt, Bengt, 1923-","7071","Grötlingbo kyrka"
"19512792","Sveriges kyrkor : konsthistoriskt inventarium. Stockholms kyrkor","1934","","Stockholm","","6885","Sveriges kyrkor"
"19512793","Östergötland.","1935","","Stockholm","","6888","['Östergötland', 'Östergötland.']"
"12093866","Maglarp : kyrkan som försvann","2010","9789172095694","Stockholm : Riksantikvarieämbetet","","9228",""
"19512799","Katarina kyrka i Stockholm : konsthistoriskt inventarium","1944","","Stockholm : Generalstabens litografiska anstalt","Nordberg, Tord O:son, 1898-1980","6901","Katarina kyrka i Stockholm"
"19512875","Kyrkorna i Marstrand","1974","9171921540 (invalid)","Stockholm : Almqvist & Wiksell","Aasma, Karin, 1926-","6999","Kyrkorna i Marstrand"
"19512848","Ytterby, Kareby och Romelanda kyrkor i Bohuslän","1967","","Stockholm","Aasma, Karin, 1926-","6957","Ytterby, Kareby och Romelanda kyrkor i Bohuslän"
